,DailyHighDate,WaterLevelElevation,Z Scores
0,1986-09-08,707.95,-0.16390425340001025
1,1986-09-09,708.43,-0.14711921854124357
2,1986-09-10,708.46,-0.14607015386256741
3,1986-09-11,708.75,-0.13592919530206182
4,1986-09-12,708.75,-0.13592919530206182
5,1986-09-13,708.76,-0.13557950707583774
6,1986-09-14,708.64,-0.13977576579053042
7,1986-09-15,708.78,-0.13488013062338963
8,1986-09-16,708.44,-0.14676953031501555
9,1986-09-17,708.51,-0.14432171273144714
10,1986-09-18,708.33,-0.15061610080348414
11,1986-09-19,708.23,-0.15411298306572868
12,1986-09-20,707.73,-0.17159739437694746
13,1986-09-21,708.38,-0.14886765967236387
14,1986-09-22,708.63,-0.14012545401675447
15,1986-09-23,708.53,-0.14362233627899904
16,1986-09-24,708.33,-0.15061610080348414
17,1986-09-25,707.89,-0.16600238275735857
18,1986-09-26,707.92,-0.1649533180786864
19,1986-09-27,707.88,-0.16635207098358262
20,1986-09-28,707.76,-0.1705483296982753
21,1986-09-29,708.08,-0.15935830645909352
22,1986-09-30,707.63,-0.17509427663919203
23,1986-10-01,708.03,-0.16110674759021779
24,1986-10-02,706.91,-0.200271828927348
25,1986-10-03,707.05,-0.1953761937602072
26,1986-10-04,706.7,-0.20761528167805718
27,1986-10-05,707.23,-0.18908180568816624
28,1986-10-06,708.03,-0.16110674759021779
29,1986-10-07,709.08,-0.12438948383665599
30,1986-10-08,710.23,-0.08417533782085362
31,1986-10-09,710.36,-0.0796293908799369
32,1986-10-10,711.08,-0.05445183859178092
33,1986-10-11,712.03,-0.02123145710046764
34,1986-10-12,713.66,0.03576772377410539
35,1986-10-13,715.43,0.0976625398158192
36,1986-10-14,716.43,0.13263136243825674
37,1986-10-15,717.23,0.16060642053620916
38,1986-10-16,717.98,0.1868330375030373
39,1986-10-17,718.58,0.20781433107650063
40,1986-10-18,718.78,0.21480809560098574
41,1986-10-19,719.23,0.23054406578108422
42,1986-10-20,719.53,0.2410347125678139
43,1986-10-21,719.93,0.2550222416167881
44,1986-10-22,720.43,0.2725066529280069
45,1986-10-23,721.56,0.31202142249136117
46,1986-10-24,721.68,0.3162176812060538
47,1986-10-25,722.61,0.34873868624492294
48,1986-10-26,722.52,0.34559149220890245
49,1986-10-27,723.06,0.3644746564250175
50,1986-10-28,723.26,0.37146842094950655
51,1986-10-29,723.48,0.3791615619264438
52,1986-10-30,724.6,0.418326643263574
53,1986-10-31,724.53,0.4158788256800016
54,1986-11-01,724.51,0.41517944922755345
55,1986-11-02,724.51,0.41517944922755345
56,1986-11-03,724.11,0.40119192017857924
57,1986-11-04,724.04,0.39874410259500687
58,1986-11-05,724.03,0.3983944143687828
59,1986-11-06,724.05,0.3990937908212309
60,1986-11-07,724.5,0.4148297610013294
61,1986-11-08,724.59,0.41797695503734994
62,1986-11-09,724.55,0.4165782021324497
63,1986-11-10,724.73,0.4228725902044907
64,1986-11-11,724.8,0.4253204077880591
65,1986-11-12,724.98,0.4316147958601001
66,1986-11-13,724.82,0.4260197842405112
67,1986-11-14,725.11,0.4361607428010168
68,1986-11-15,725.43,0.4473507660401946
69,1986-11-16,725.63,0.45434453056468366
70,1986-11-17,725.73,0.45784141282692825
71,1986-11-18,725.68,0.456092971695804
72,1986-11-19,725.68,0.456092971695804
73,1986-11-20,725.78,0.4595898539580485
74,1986-11-21,725.68,0.456092971695804
75,1986-11-22,725.83,0.4613382950891728
76,1986-11-23,725.83,0.4613382950891728
77,1986-11-24,725.86,0.46238735976784495
78,1986-11-25,726.02,0.4679823713874338
79,1986-11-26,725.95,0.46553455380386544
80,1986-11-27,725.95,0.46553455380386544
81,1986-11-28,726.14,0.4721786301021265
82,1986-11-29,726.36,0.4798717710790637
83,1986-11-30,726.48,0.4840680297937564
84,1986-12-01,726.49,0.48441771801998046
85,1986-12-02,726.32,0.4784730181741675
86,1986-12-03,726.18,0.47357738300702273
87,1986-12-04,726.13,0.47182894187590246
88,1986-12-05,726.18,0.47357738300702273
89,1986-12-06,726.38,0.4805711475315118
90,1986-12-07,726.48,0.4840680297937564
91,1986-12-08,726.68,0.4910617943182415
92,1986-12-09,726.68,0.4910617943182415
93,1986-12-10,726.53,0.4858164709248767
94,1986-12-11,726.65,0.4900127296395693
95,1986-12-12,726.58,0.48756491205600094
96,1986-12-13,726.63,0.4893133531871212
97,1986-12-14,726.9,0.4987549352951787
98,1986-12-15,727.25,0.5109940232130327
99,1986-12-16,727.61,0.5235827993571106
100,1986-12-17,727.98,0.5365212637274127
101,1986-12-18,728.22,0.544913781156798
102,1986-12-19,728.44,0.5526069221337352
103,1986-12-20,728.68,0.5609994395631166
104,1986-12-21,728.67,0.5606497513368925
105,1986-12-22,730.33,0.6186979968901417
106,1986-12-23,732.63,0.6991262889217464
107,1986-12-24,733.68,0.7358435526753043
108,1986-12-25,734.58,0.7673154930355013
109,1986-12-26,735.28,0.7917936688712052
110,1986-12-27,735.88,0.8127749624446684
111,1986-12-28,736.34,0.828860620850991
112,1986-12-29,736.88,0.847743785067106
113,1986-12-30,737.28,0.8617313141160802
114,1986-12-31,737.57,0.8718722726765898
115,1987-01-01,737.68,0.8757188431650544
116,1987-01-02,738.16,0.8925038780238251
117,1987-01-03,738.15,0.892154189797601
118,1987-01-04,738.18,0.8932032544762732
119,1987-01-05,738.14,0.8918045015713769
120,1987-01-06,738.14,0.8918045015713769
121,1987-01-07,738.16,0.8925038780238251
122,1987-01-08,738.18,0.8932032544762732
123,1987-01-09,738.18,0.8932032544762732
124,1987-01-10,738.18,0.8932032544762732
125,1987-01-11,738.53,0.9054423423941271
126,1987-01-12,738.71,0.9117367304661681
127,1987-01-13,738.91,0.9187304949906533
128,1987-01-14,739.1,0.9253745712889183
129,1987-01-15,739.12,0.9260739477413664
130,1987-01-16,739.14,0.9267733241938145
131,1987-01-17,739.29,0.9320186475871793
132,1987-01-18,739.11,0.9257242595151424
133,1987-01-19,739.14,0.9267733241938145
134,1987-01-20,739.09,0.9250248830626943
135,1987-01-21,739.19,0.9285217653249388
136,1987-01-22,739.2,0.9288714535511629
137,1987-01-23,739.33,0.9334174004920796
138,1987-01-24,739.54,0.9407608532427887
139,1987-01-25,739.38,0.9351658416231998
140,1987-01-26,739.53,0.9404111650165646
141,1987-01-27,739.78,0.9491533706721741
142,1987-01-28,739.86,0.9519508764819705
143,1987-01-29,739.88,0.9526502529344186
144,1987-01-30,739.68,0.9456564884099296
145,1987-01-31,739.78,0.9491533706721741
146,1987-02-01,739.93,0.9543986940655389
147,1987-02-02,739.87,0.9523005647081946
148,1987-02-03,738.83,0.9159329891808607
149,1987-02-04,739.11,0.9257242595151424
150,1987-02-05,739.08,0.9246751948364702
151,1987-02-06,739.23,0.929920518229835
152,1987-02-07,739.38,0.9351658416231998
153,1987-02-08,739.67,0.9453068001837055
154,1987-02-09,739.48,0.9386627238854444
155,1987-02-10,739.68,0.9456564884099296
156,1987-02-11,739.78,0.9491533706721741
157,1987-02-12,739.69,0.9460061766361575
158,1987-02-13,739.73,0.9474049295410538
159,1987-02-14,739.88,0.9526502529344186
160,1987-03-05,742.45,1.042520127074085
161,1987-03-06,742.66,1.049863579824794
162,1987-03-07,742.81,1.0551089032181589
163,1987-03-08,742.98,1.0610536030639757
164,1987-03-09,742.97,1.0607039148377517
165,1987-03-10,743.25,1.0704951851720332
166,1987-03-11,742.66,1.049863579824794
167,1987-03-12,743.4,1.0757405085653982
168,1987-03-13,743.06,1.0638511088737683
169,1987-03-14,743.3,1.0722436263031536
170,1987-03-15,743.43,1.0767895732440702
171,1987-03-16,743.59,1.082384584863663
172,1987-03-17,743.64,1.0841330259947835
173,1987-03-18,743.58,1.0820348966374391
174,1987-03-19,743.53,1.0802864555063147
175,1987-03-20,743.51,1.0795870790538666
176,1987-03-21,743.58,1.0820348966374391
177,1987-03-22,743.67,1.0851820906734555
178,1987-03-23,743.53,1.0802864555063147
179,1987-03-24,743.58,1.0820348966374391
180,1987-03-25,743.59,1.082384584863663
181,1987-03-26,743.57,1.081685208411215
182,1987-03-27,743.5,1.0792373908276427
183,1987-03-28,743.29,1.0718939380769295
184,1987-03-29,743.3,1.0722436263031536
185,1987-03-30,743.25,1.0704951851720332
186,1987-03-31,743.24,1.0701454969458093
187,1987-04-01,743.06,1.0638511088737683
188,1987-04-02,742.71,1.0516120209559183
189,1987-04-03,742.71,1.0516120209559183
190,1987-04-04,742.71,1.0516120209559183
191,1987-04-05,742.85,1.056507656123059
192,1987-04-06,743.51,1.0795870790538666
193,1987-04-07,742.97,1.0607039148377517
194,1987-04-08,742.93,1.0593051619328515
195,1987-04-09,742.46,1.0428698153003089
196,1987-04-10,742.41,1.0411213741691847
197,1987-04-11,742.08,1.0295816627037828
198,1987-04-12,741.78,1.0190910159170492
199,1987-04-13,741.6,1.0127966278450122
200,1987-04-14,741.38,1.0051034868680748
201,1987-04-15,740.46,0.9729321700554338
202,1987-04-16,740.03,0.9578955763277834
203,1987-04-17,739.71,0.9467055530886056
204,1987-04-18,739.53,0.9404111650165646
205,1987-04-19,739.46,0.9379633474329963
206,1987-04-20,738.77,0.9138348598235124
207,1987-04-21,739.02,0.9225770654791219
208,1987-04-22,739.16,0.9274727006462626
209,1987-04-23,738.89,0.9180311185382051
210,1987-04-24,738.88,0.917681430311981
211,1987-04-25,739.29,0.9320186475871793
212,1987-04-26,739.5,0.9393621003378925
213,1987-04-27,739.44,0.9372639709805481
214,1987-04-28,739.41,0.936214906301872
215,1987-04-29,739.04,0.92327644193157
216,1987-04-30,738.78,0.9141845480497365
217,1987-05-01,738.44,0.9022951483581106
218,1987-05-02,738.38,0.9001970190007623
219,1987-05-03,738.18,0.8932032544762732
220,1987-05-04,737.88,0.8827126076895435
221,1987-05-05,738.16,0.8925038780238251
222,1987-05-06,738.73,0.9124361069186162
223,1987-05-07,739.08,0.9246751948364702
224,1987-05-08,739.38,0.9351658416231998
225,1987-05-09,739.6,0.942858982600137
226,1987-05-10,739.68,0.9456564884099296
227,1987-05-11,739.68,0.9456564884099296
228,1987-05-12,739.48,0.9386627238854444
229,1987-05-13,739.18,0.9281720770987107
230,1987-05-14,739.48,0.9386627238854444
231,1987-05-15,739.68,0.9456564884099296
232,1987-05-16,740.18,0.9631408997211482
233,1987-05-17,740.32,0.968036534888293
234,1987-05-18,740.43,0.9718831053767577
235,1987-05-19,740.53,0.9753799876390022
236,1987-05-20,740.81,0.9851712579732838
237,1987-05-21,740.98,0.9911159578191007
238,1987-05-22,741.18,0.9981097223435859
239,1987-05-23,741.4,1.005802863320523
240,1987-05-24,741.62,1.0134960042974603
241,1987-05-25,741.73,1.0173425747859288
242,1987-05-26,741.75,1.018041951238377
243,1987-05-27,741.51,1.0096494338089916
244,1987-05-28,741.22,0.9995084752484861
245,1987-05-29,743.31,1.0725933145293776
246,1987-05-30,746.27,1.176101029491794
247,1987-05-31,748.33,1.2481368040940175
248,1987-06-01,750.4,1.3205222669224608
